ID: e5513dec-949a-4792-9916-c708aa7ae12b | TITLE: Oncology Drape Pack | CAT: customized-packs | IMAGE: /images/products/oncology-drape-pack.png
ID: 6f8b75d0-abb8-4b9e-9762-e5472ac56239 | TITLE: Plastic & Reconstructive Surgery Drape Pack | CAT: customized-packs | IMAGE: /images/products/plastic-surgery-drape-pack.png
ID: 9bc87151-4e57-473d-96be-30186f1437eb | TITLE: Vascular Surgery Drape Pack | CAT: customized-packs | IMAGE: /images/products/vascular-surgery-drape-pack.png
ID: sms-sterilization-wrap-blue | TITLE: SMS Sterilization Wrap (Blue) | CAT: sterilization-wraps | IMAGE: https://images.unsplash.com/photo-1583324113626-70df0f43aa2b?auto=format&fit=crop&q=80&w=800
ID: sequential-sterilization-wrap | TITLE: Sequential Sterilization Wrap (Dual Layer) | CAT: sterilization-wraps | IMAGE: https://images.unsplash.com/photo-1579684385127-1ef15d508118?auto=format&fit=crop&q=80&w=800
ID: patient-suit-top-bottom | TITLE: Patient Suit (Top & Bottom Set) | CAT: patient-wears | IMAGE: https://images.unsplash.com/photo-1584622781564-1d9876a13d1e?auto=format&fit=crop&q=80&w=800
ID: e225d066-f0a9-4ec2-a0a3-3a9d3a67f542 | TITLE: Knee O Drape | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1549479366-2e860bc4b92b?auto=format&fit=crop&q=80&w=800
ID: 21dfd86b-d91f-47f3-88e2-1af66a28cbfa | TITLE: Hip U Drape | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1579684453423-f8ff34692f82?auto=format&fit=crop&q=80&w=800
ID: 1fd217f4-5a16-4a1b-a584-5cc6a5e4ca66 | TITLE: TKR - Total Knee Replacement Drape Pack | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1584622781564-1d9876a13d1e?auto=format&fit=crop&q=80&w=800
ID: 13e4c0d3-6089-46e2-b895-30c525e9045e | TITLE: THR - Total Hip Replacement Drape Pack | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1576091160550-2173bdd99602?auto=format&fit=crop&q=80&w=800
ID: fa31e241-1f5c-4b52-89b6-d1bb199c3351 | TITLE: Mini Drape Pack | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1579154235828-ac01eefe3e8e?auto=format&fit=crop&q=80&w=800
ID: 57138e74-1076-413e-836c-e12f13d31326 | TITLE: Knee Arthroscopy | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1576765608535-5f04d1e3f289?auto=format&fit=crop&q=80&w=800
ID: 774b15a5-8f5f-4578-8b00-34497de984da | TITLE: Shoulder Arthroscopy | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?auto=format&fit=crop&q=80&w=800
ID: dd9e7daa-86fd-4dbc-8993-daa9f3268a39 | TITLE: HIV Protection Drape kit | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1516549655169-df83a0774514?auto=format&fit=crop&q=80&w=1200
ID: 76de21b5-5b2e-4691-b572-e6da75754fd6 | TITLE: Colorectal Surgery Drape Pack | CAT: customized-packs | IMAGE: /images/products/colorectal-drape-pack.png
ID: c70faf9e-e5ca-4018-8b2f-91fa0eec3ade | TITLE: Universal Drape Pack | CAT: ot-sheets | IMAGE: https://images.unsplash.com/photo-1583324113626-70df0f43aa2b?auto=format&fit=crop&q=80&w=800
